content,second,sent
4h,0,1564760359
四小时前！！！,185,1564760712
小程12点睡,379,1564757380
刚刚,2120,1564753132
来辽 两小时前！,2135,1564752726
2小时前！,2240,1564752943
囍,2559,1564752669
来了,2725,1564760613
两小时前,2838,1564754061
来了来了,2867,1564754468
两小时！,2903,1564752493
3小时前,3090,1564757567
看我发现了什么！！,3120,1564753823
超级喜欢这个片头,3619,1564752239
来了,3645,1564752360
1小时前,3818,1564751190
来了,3901,1564759245
哇 来武汉啦 欢迎呀,3926,1564756254
2小时前,4029,1564754810
两小时前,4079,1564752548
四小时,4171,1564761146
来啦,4338,1564751204
2小时,4399,1564752659
哇塞 还好我吃了饭,4457,1564757284
给年轻老板上一课。,4544,1564755950
来啦,4829,1564756317
来啦,4880,1564752916
两小时前,4934,1564752533
2小时前,4957,1564754197
两小时前！,4959,1564752964
三小时前,4999,1564756992
点外卖准备,5015,1564753855
来了,5137,1564756019
2小时,5183,1564752619
两小时前,5197,1564754404
来啦来啦,5220,1564751953
2小时前,5240,1564751902
来了来了,5320,1564761107
2小时前,5379,1564752752
111,5459,1564758706
来了来了来了,5665,1564756188
来了,5739,1564756586
2小时前,5758,1564753866
3小时前热热吧。,5783,1564756215
2小时前,5920,1564754214
4h前,5943,1564761273
武汉吗？,6298,1564752658
四小时前,6367,1564758757
来啦！,6498,1564752783
三年,6501,1564756253
两小时前,6682,1564753583
来辽！！！！,6736,1564756786
三小时前,6759,1564758306
两小时前～,6797,1564753038
点了外卖等着,6840,1564755582
两小时前！！,6840,1564754319
三个小时前,6872,1564755971
3小时前！,6895,1564757876
每次看他俩的视频都好饿,6965,1564758374
3小时前,7159,1564755427
骄傲，看你们有广告高兴,7244,1564760709
肯定是大佬配的音！！省钱了啊盗月社,7249,1564753735
来报道了~,7387,1564754966
两个小时前,7647,1564752761
哇哇哇,7659,1564754000
两小时前,7678,1564753840
时长感人,7708,1564757627
来了,7759,1564756448
3小时前,7760,1564755556
他来了,7821,1564758833
三小时前,7898,1564757157
来了来了来了,7905,1564758837
2个小时前,7938,1564752396
两小时前,7981,1564753425
3小时,8000,1564755450
两个小时！,8068,1564753532
三个小时前,8319,1564757710
哈哈哈哈哈哈哈哈，,8637,1564754492
三小时前,8670,1564755904
来啦来啦,8735,1564759158
2小时前,8824,1564752910
2,8824,1564752898
两小时前,8839,1564753240
啊啊啊真的有种人生一串的感觉了哈哈,9000,1564760633
哈哈哈哈,9040,1564755055
你们几小时前出生？,9101,1564760548
吃饱了来看的,9238,1564751265
4小时前,9374,1564758629
更新了,9377,1564758368
2小时前,9390,1564751898
三个小时前,9515,1564756566
2小时前,9573,1564754823
两小时、酒,9586,1564752544
啥也不说了三连,9760,1564759487
3小时前,9778,1564755561
刚看完浪浪回来,9892,1564752719
2小时前！！！,9894,1564752724
来啦,9920,1564754951
？？？？,9960,1564753909
3小时前,9990,1564757491
好长,10022,1564752659
刚下课,10171,1564754589
社员报道,10201,1564752161
3小时前,10279,1564757091
三小时前热热还能吃,10325,1564756422
两个小时前,10338,1564754107
来了来了,10347,1564759866
2小时前,10367,1564754296
金主串场,10379,1564752814
四小时前,10498,1564759524
三小时前,10621,1564755888
看这两位视频极度舒适呀??,10680,1564758439
两小时前,10681,1564753073
哇,10755,1564755702
又是这个。。。,10758,1564760493
来啦,10764,1564760616
有广告啦！！！开心,10840,1564760630
两小时,10957,1564754566
时长感人,10959,1564756834
两小时前,10960,1564754830
两小时前！,11061,1564752549
所以这广告是大佬念的？,11110,1564753499
3小时前！,11123,1564758438
我靠 刚从浪浪那里看了云南白药,11145,1564761569
来了来了！！！！最近这个速度太爽了吧,11155,1564751134
来了！,11190,1564761135
两小时前,11215,1564752687
两小时前,11354,1564754477
4小时前！,11422,1564759707
三小时,11474,1564757365
俩小时前,11575,1564753197
两小时,11659,1564754209
有赞助了，恭喜恭喜,11669,1564758865
看你们有广告高兴,11981,1564760727
 恰饭囖,12073,1564757107
来啦,12121,1564759022
看我刷到了什么,12156,1564753392
怎么回事,12166,1564759654
？？？,12166,1564752377
大佬！！！！,12202,1564757236
两小时前,12259,1564753556
有赞助了！恭喜恭喜,12280,1564758130
云南白药血洗b站,12319,1564752937
哈哈哈哈哈哈哈哈,12418,1564752351
刚看完的视频也是这个牙膏广告,12436,1564753164
终于有赞助了!,12612,1564757103
？？？,12619,1564758191
两小时前 耶耶耶,12637,1564753170
哈哈哈武汉,12793,1564757414
来了,12838,1564753246
两小时前,12911,1564753277
两小时前！！！,12934,1564752814
两小时前,12971,1564753612
厉害了(? ??_??)?,12998,1564757354
两小时前,13097,1564754225
？？？,13117,1564752669
三小时前,13252,1564755304
怎么到处都是这个恰饭商,13499,1564761231
3小时前,13589,1564757737
四个小时前,13673,1564759693
哇哦,13838,1564752906
啊啊啊啊,13838,1564752755
来宜昌呗,14124,1564751802
老公声音真好听,14195,1564758206
终于等来,14318,1564753865
4小时前,14324,1564761574
爱了这个时长,14559,1564753204
2小时前,14663,1564754656
2小时前,14720,1564753299
开始吃饭lo,14783,1564752333
4小时前啊,14872,1564758611
竟然是云南白药,14879,1564760549
大佬声音跪,14908,1564751581
我去,14964,1564755726
有赞助了呀,15138,1564752410
有赞助了！,15199,1564760213
都有赞助了,15231,1564756120
我还以为我进了人生一串,15273,1564753844
厉害了啊，有大厂金主了,15604,1564758645
卧蚕 来武汉了,15649,1564755119
两小时前,16160,1564754166
两小时前！,16206,1564754784
